Accession	Sample Name	SPUID	Organism	Tax ID	Isolate	
SAMN33038044	RE-WHP2742	RE-WHP2742	Severe acute respiratory syndrome coronavirus 2	2697049	1628	
SAMN33038045	RE-WHP2744	RE-WHP2744	Severe acute respiratory syndrome coronavirus 2	2697049	1629	
SAMN33038046	RE-WHP2745	RE-WHP2745	Severe acute respiratory syndrome coronavirus 2	2697049	1630	
SAMN33038047	RE-WHP2746	RE-WHP2746	Severe acute respiratory syndrome coronavirus 2	2697049	1631	
SAMN33038048	RE-WHP2749	RE-WHP2749	Severe acute respiratory syndrome coronavirus 2	2697049	1632	
SAMN33038049	RE-WHP2750	RE-WHP2750	Severe acute respiratory syndrome coronavirus 2	2697049	1633	
SAMN33038050	RE-WHP2751	RE-WHP2751	Severe acute respiratory syndrome coronavirus 2	2697049	1634	
SAMN33038051	RE-WHP2752	RE-WHP2752	Severe acute respiratory syndrome coronavirus 2	2697049	1635	
SAMN33038052	RE-WHP2753	RE-WHP2753	Severe acute respiratory syndrome coronavirus 2	2697049	1636	
SAMN33038053	RE-WHP2754	RE-WHP2754	Severe acute respiratory syndrome coronavirus 2	2697049	1637	
SAMN33038054	RE-WHP2756	RE-WHP2756	Severe acute respiratory syndrome coronavirus 2	2697049	1638	
SAMN33038055	RE-WHP2757	RE-WHP2757	Severe acute respiratory syndrome coronavirus 2	2697049	1639	
SAMN33038056	RE-WHP2758	RE-WHP2758	Severe acute respiratory syndrome coronavirus 2	2697049	1640	
SAMN33038057	RE-WHP2760	RE-WHP2760	Severe acute respiratory syndrome coronavirus 2	2697049	1641	
SAMN33038058	RE-WHP2761	RE-WHP2761	Severe acute respiratory syndrome coronavirus 2	2697049	1642	
SAMN33038059	RE-WHP2836	RE-WHP2836	Severe acute respiratory syndrome coronavirus 2	2697049	1675	
SAMN33038060	RE-WHP2837	RE-WHP2837	Severe acute respiratory syndrome coronavirus 2	2697049	1676	
SAMN33038061	RE-WHP2997	RE-WHP2997	Severe acute respiratory syndrome coronavirus 2	2697049	1758	
