# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	GU280_gp04	GU280_gp04	protein_coding	6	46	104	4203	1448	0	104	3	1	4	1	2	44	2755
M	GU280_gp05	GU280_gp05	protein_coding	8	107	151	3992	1155	0	151	2	1	7	0	2	105	2837
N	GU280_gp10	GU280_gp10	protein_coding	20	187	354	2626	149	0	354	0	1	19	0	0	187	2477
ORF10	GU280_gp11	GU280_gp11	protein_coding	4	17	36	2333	74	1	36	2	2	0	2	0	16	2259
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	266	3821	7721	2910	2844	0	7721	3	2	264	0	0	3821	66
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	158	2501	5007	2853	2787	0	5007	1	2	156	0	1	2500	66
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	8	98	148	3343	3277	0	148	0	2	6	0	0	98	66
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	30	383	784	3371	3051	0	784	0	0	30	0	0	383	320
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	75	1156	2289	4247	2730	0	2289	2	0	75	0	0	1156	1517
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	1	204	413	5957	2902	0	413	0	0	1	0	0	204	3055
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	11	202	478	5004	2559	0	478	0	0	11	0	0	202	2445
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	11	184	391	5225	2584	0	391	5	0	11	0	0	184	2641
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	8	73	139	5169	2480	0	139	2	0	8	0	0	73	2689
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	9	110	218	5291	2453	0	218	0	0	9	0	0	110	2838
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	1	32	60	5545	2604	0	60	2	0	1	0	0	32	2941
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	4	50	77	5601	2785	0	77	0	0	4	0	0	50	2816
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	35	421	909	5417	2682	0	909	6	0	35	0	0	421	2735
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	19	375	732	5211	2631	0	732	1	0	19	0	0	375	2580
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	22	245	513	5392	2775	0	513	1	0	22	0	0	245	2617
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	24	187	397	5248	2646	0	397	0	0	24	0	0	187	2602
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	8	101	173	5673	2843	0	173	0	0	8	0	0	101	2830
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	0	8	10	5522	2787	0	10	1	0	0	0	0	8	2735
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	8	98	148	3343	3277	0	148	0	2	6	0	0	98	66
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	30	383	784	3371	3051	0	784	0	0	30	0	0	383	320
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	75	1156	2289	4247	2730	0	2289	2	0	75	0	0	1156	1517
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	1	204	413	5957	2902	0	413	0	0	1	0	0	204	3055
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	11	202	478	5004	2559	0	478	0	0	11	0	0	202	2445
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	11	184	391	5225	2584	0	391	5	0	11	0	0	184	2641
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	8	73	139	5169	2480	0	139	2	0	8	0	0	73	2689
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	9	110	218	5291	2453	0	218	0	0	9	0	0	110	2838
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	1	32	60	5545	2604	0	60	2	0	1	0	0	32	2941
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	4	50	77	5601	2785	0	77	0	0	4	0	0	50	2816
ORF3a	GU280_gp03	GU280_gp03	protein_coding	17	145	276	4210	1611	0	276	2	3	13	1	1	144	2599
ORF6	GU280_gp06	GU280_gp06	protein_coding	3	24	42	3795	1081	0	42	3	1	2	0	3	21	2714
ORF7a	GU280_gp07	GU280_gp07	protein_coding	6	47	96	3549	927	0	96	1	2	3	1	0	47	2622
ORF7b	GU280_gp08	GU280_gp08	protein_coding	3	18	35	3382	873	0	35	3	1	1	1	2	16	2509
ORF8	GU280_gp09	GU280_gp09	protein_coding	8	47	96	3223	720	0	96	0	2	6	0	0	47	2503
S	GU280_gp02	GU280_gp02	protein_coding	56	714	1422	4608	2053	0	1422	1	0	56	0	1	713	2555
